"","V1","V2"
"717",635,655
"718",650,673
"719",702,646
"720",679,639
"721",615,587
"722",712,611
"723",715,699
"724",665,671
"725",628,689
"726",664,717
"727",711,621
"728",614,627
"729",684,653
"730",682,710
"731",672,630
"732",600,691
"733",651,554
"734",698,551
"735",675,696
"736",708,663
"737",683,704
"738",666,606
"739",690,659
"740",694,636
"741",693,709
"742",700,692
"743",633,661
"744",721,725
"745",674,705
"746",706,722
"747",680,547
"748",716,667
"749",731,720
"750",747,734
"751",732,714
"752",744,647
"753",736,739
"754",745,735
"755",748,701
"756",726,686
"757",742,738
"758",719,737
"759",733,703
"760",724,713
"761",730,728
"762",707,729
"763",723,751
"764",727,755
"765",754,759
"766",752,718
"767",758,740
"768",762,750
"769",757,743
"770",760,749
"771",764,746
"772",765,770
"773",753,766
"774",767,761
"775",773,763
"776",771,741
"777",769,768
"778",777,756
"779",774,772
"780",778,776
"781",779,775
"782",781,780
